Datawrappergemeente,Gemiddeldinkomenperinwoner,Gemeente
Torhout,18904,Torhout
Zedelgem,19938,Zedelgem
Zuienkerke,21232,Zuienkerke
Knokke-Heist,25575,Knokke-Heist
Diksmuide,17601,Diksmuide
Houthulst,16748,Houthulst
Koekelare,17803,Koekelare
Kortemark,17482,Kortemark
Lo-Reninge,16812,Lo-Reninge
Ieper,18472,Ieper
Mesen,13719,Mesen
Poperinge,17121,Poperinge
Wervik,17157,Wervik
Zonnebeke,17989,Zonnebeke
Heuvelland,16531,Heuvelland
Langemark-Poelkapelle,17527,Langemark-Poelkapelle
Vleteren,16321,Vleteren
Anzegem,19827,Anzegem
Avelgem,18356,Avelgem
Deerlijk,19682,Deerlijk
Harelbeke,18852,Harelbeke
Kortrijk,19310,Kortrijk
Kuurne,18462,Kuurne
Lendelede,19164,Lendelede
Menen,17045,Menen
Waregem,19763,Waregem
Wevelgem,18955,Wevelgem
Zwevegem,19660,Zwevegem
Spiere-Helkijn,17589,Spiere-Helkijn
Bredene,19223,Bredene
Gistel,18905,Gistel
Ichtegem,17814,Ichtegem
Middelkerke,18759,Middelkerke
Oostende,18303,Oostende
Oudenburg,18943,Oudenburg
De Haan,21386,De Haan
Hooglede,18911,Hooglede
Ingelmunster,18474,Ingelmunster
Izegem,18743,Izegem
Ledegem,18110,Ledegem
Lichtervelde,18510,Lichtervelde
Moorslede,18021,Moorslede
Roeselare,18660,Roeselare
Staden,17592,Staden
Dentergem,18332,Dentergem
Meulebeke,18154,Meulebeke
Oostrozebeke,18325,Oostrozebeke
Pittem,18097,Pittem
Ruiselede,18748,Ruiselede
Tielt,18753,Tielt
Wielsbeke,18272,Wielsbeke
Wingene,18576,Wingene
Ardooie,18767,Ardooie
Alveringem,16218,Alveringem
De Panne,18915,De Panne
Koksijde,25307,Koksijde
Nieuwpoort,19316,Nieuwpoort
Veurne,18365,Veurne
Aalst,19693,Aalst
Denderleeuw,19054,Denderleeuw
Geraardsbergen,19183,Geraardsbergen
Haaltert,20923,Haaltert
Herzele,20858,Herzele
Lede,20864,Lede
Ninove,19231,Ninove
Sint-Lievens-Houtem,20856,Sint-Lievens-Houtem
Zottegem,21624,Zottegem
Erpe-Mere,21300,Erpe-Mere
Berlare,20010,Berlare
Buggenhout,21390,Buggenhout
Dendermonde,19892,Dendermonde
Hamme,18534,Hamme
Laarne,21780,Laarne
Lebbeke,19731,Lebbeke
Waasmunster,22310,Waasmunster
Wetteren,19590,Wetteren
Wichelen,20584,Wichelen
Zele,17920,Zele
Assenede,20234,Assenede
Eeklo,18374,Eeklo
Kaprijke,20167,Kaprijke
Maldegem,18957,Maldegem
Sint-Laureins,18994,Sint-Laureins
Zelzate,18139,Zelzate
Aalter,21393,Aalter
Deinze,20418,Deinze
De Pinte,25766,De Pinte
Destelbergen,23088,Destelbergen
Evergem,20395,Evergem
Gavere,22086,Gavere
Gent,18789,Gent
Knesselare,19383,Knesselare
Lochristi,21885,Lochristi
Lovendegem,22021,Lovendegem
Melle,22257,Melle
Merelbeke,22985,Merelbeke
Moerbeke,20323,Moerbeke
Nazareth,22026,Nazareth
Nevele,21200,Nevele
Oosterzele,21869,Oosterzele
Sint-Martens-Latem,30748,Sint-Martens-Latem
Waarschoot,19417,Waarschoot
Wachtebeke,19689,Wachtebeke
Zomergem,20191,Zomergem
Zulte,19759,Zulte
Kruishoutem,21972,Kruishoutem
Oudenaarde,20438,Oudenaarde
Ronse,15480,Ronse
Zingem,20050,Zingem
Brakel,19877,Brakel
Kluisbergen,19975,Kluisbergen
Wortegem-Petegem,21416,Wortegem-Petegem
Horebeke,21080,Horebeke
Lierde,20447,Lierde
